,Player,player_name,All_NBA,All_Star,Draft_Yr,Pk,Team,College,Yrs,Games_Career,Minutes_Played_Career,PTS_Career,TRB_Career,AST_Career,FG_Percentage,TP_Percentage,FT_Percentage,Minutes_per_Game,Points_Per_Game,TRB_per_Game,Assists_per_Game,Win_Share,WS_per_game,BPM_Career,VORP_Career,Executive,exec_name,Prior_Player,ethnic,Tenure,tenure_years,Exec_ID,Exec_draft_exp,attend_college,first_year,second_year,third_year,fourth_year,fifth_year
1,RobertParish,robertparish,2,9,1976,8,GSW,Centenary College of Louisiana,21,1611,45704,23334,14715,2180,0.537,0,0.721,28.4,14.5,9.1,1.4,147,0.154,1.6,41.5,AlAttles,alattles,1,AA,3641,9.98,1,1,1,0,0,0,0,0
2,SonnyParker,sonnyparker,0,0,1976,17,GSW,Texas A&M University,6,452,10916,4471,1841,954,0.501,0,0.755,24.2,9.9,4.1,2.1,26.9,0.118,2.2,11.5,AlAttles,alattles,1,AA,3641,9.98,1,1,1,0,0,0,0,0
3,MarshallRogers,marshallrogers,0,0,1976,34,GSW,University of Texas-Pan American,1,26,176,100,11,10,0.371,0,0.933,6.8,3.8,0.4,0.4,-0.2,-0.043,-9.9,-0.4,AlAttles,alattles,1,AA,3641,9.98,1,1,1,0,0,0,0,0
4,JeffFosnes,jefffosnes,0,0,1976,68,GSW,Vanderbilt University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,1,1,0,0,0,0,0
5,CarlBird,carlbird,0,0,1976,86,GSW,University of California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,1,1,0,0,0,0,0
6,DuaneBarnett,duanebarnett,0,0,1976,91,GSW,Stanford University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,1,1,0,0,0,0,0
7,GeneCunningham,genecunningham,0,0,1976,104,GSW,Norfolk State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,1,1,0,0,0,0,0
8,JesseCampbell,jessecampbell,0,0,1976,122,GSW,Mercyhurst College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,1,1,0,0,0,0,0
9,StanBoskovich,stanboskovich,0,0,1976,140,GSW,West Virginia University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,1,1,0,0,0,0,0
10,HowardSmith,howardsmith,0,0,1976,157,GSW,University of San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,1,1,0,0,0,0,0
11,KenSmith,kensmith,0,0,1976,173,GSW,San Diego State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,1,1,0,0,0,0,0
12,RickeyGreen,rickeygreen,0,0,1977,16,GSW,University of Michigan,14,946,23271,8870,1819,5221,0.469,0.207,0.807,24.6,9.4,1.9,5.5,47.2,0.097,-1,5.8,AlAttles,alattles,1,AA,3641,9.98,1,2,1,0,0,0,0,0
13,WesleyCox,wesleycox,0,0,1977,18,GSW,University of Louisville,2,74,813,342,206,23,0.412,0,0.51,11,4.6,2.8,0.3,0.1,0.007,-6.9,-1,AlAttles,alattles,1,AA,3641,9.98,1,2,1,0,0,0,0,0
14,RickyLove,rickylove,0,0,1977,38,GSW,University of Alabama at Huntsville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,2,1,0,0,0,0,0
15,MarlonRedmond,marlonredmond,0,0,1977,60,GSW,University of San Francisco,2,77,1057,499,161,77,0.423,0,0.655,13.7,6.5,2.1,1,0.6,0.026,-3.8,-0.5,AlAttles,alattles,1,AA,3641,9.98,1,2,1,0,0,0,0,0
16,RoySmith,roysmith,0,0,1977,82,GSW,Kentucky State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,2,1,0,0,0,0,0
17,LearthaScott,learthascott,0,0,1977,87,GSW,University of Wisconsin-Parkside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,2,1,0,0,0,0,0
18,RayEpps,rayepps,0,0,1977,104,GSW,Norfolk State University,1,13,72,26,5,2,0.435,0,0.75,5.5,2,0.4,0.2,0.1,0.057,-6.9,-0.1,AlAttles,alattles,1,AA,3641,9.98,1,2,1,0,0,0,0,0
19,JackPhelan,jackphelan,0,0,1977,126,GSW,Saint Francis University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,2,1,0,0,0,0,0
20,JerryThurston,jerrythurston,0,0,1977,146,GSW,Mercer University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,2,1,0,0,0,0,0
21,RickyMarsh,rickymarsh,0,0,1977,165,GSW,Manhattan College,1,60,851,269,75,90,0.426,0,0.697,14.2,4.5,1.3,1.5,0.5,0.028,-4.3,-0.5,AlAttles,alattles,1,AA,3641,9.98,1,2,1,0,0,0,0,0
22,PurvisShort,purvisshort,0,0,1978,5,GSW,Jackson State University,12,842,24549,14607,3625,2123,0.474,0.282,0.824,29.2,17.3,4.3,2.5,51.1,0.1,-0.1,11.6,AlAttles,alattles,1,AA,3641,9.98,1,3,1,0,0,0,0,0
23,RaymondTownsend,raymondtownsend,0,0,1978,22,GSW,"University of California, Los Angeles",3,154,2025,745,157,217,0.411,0.171,0.703,13.1,4.8,1,1.4,1,0.023,-4.6,-1.3,AlAttles,alattles,1,AA,3641,9.98,1,3,1,0,0,0,0,0
24,WayneCooper,waynecooper,0,0,1978,40,GSW,University of New Orleans,14,984,20274,7777,6095,852,0.457,0.146,0.736,20.6,7.9,6.2,0.9,36.9,0.087,-1.7,1.4,AlAttles,alattles,1,AA,3641,9.98,1,3,1,0,0,0,0,0
25,SteveNeff,steveneff,0,0,1978,56,GSW,Southern Nazarene University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,3,1,0,0,0,0,0
26,DerrickJackson,derrickjackson,0,0,1978,77,GSW,Georgetown University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,3,1,0,0,0,0,0
27,BubbaWilson,bubbawilson,0,0,1978,101,GSW,Western Carolina University,1,16,143,17,16,12,0.28,0,0.5,8.9,1.1,1,0.8,-0.2,-0.064,-7.5,-0.2,AlAttles,alattles,1,AA,3641,9.98,1,3,1,0,0,0,0,0
28,BuzzHartnett,buzzhartnett,0,0,1978,122,GSW,University of San Diego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,3,1,0,0,0,0,0
29,RickBernard,rickbernard,0,0,1978,142,GSW,Saint Mary's College of California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,3,1,0,0,0,0,0
30,TonySearcy,tonysearcy,0,0,1978,163,GSW,Appalachian State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,3,1,0,0,0,0,0
31,BobbyHumbles,bobbyhumbles,0,0,1978,179,GSW,Bradley University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,3,1,0,0,0,0,0
32,MikeMuff,mikemuff,0,0,1978,193,GSW,Murray State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,3,1,0,0,0,0,0
33,DannySalisbury,dannysalisbury,0,0,1979,28,GSW,University of Texas-Pan American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,4,1,0,0,0,0,0
34,CheeseJohnson,cheesejohnson,0,0,1979,54,GSW,Wichita State University,1,9,53,27,14,2,0.4,0,0.6,5.9,3,1.6,0.2,0,-0.033,-9.7,-0.1,AlAttles,alattles,1,AA,3641,9.98,1,4,1,0,0,0,0,0
35,RonRipley,ronripley,0,0,1979,75,GSW,University of Wisconsin-Green Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,4,1,0,0,0,0,0
36,JerrySichting,jerrysichting,0,0,1979,82,GSW,Purdue University,10,598,12732,4141,817,1962,0.507,0.271,0.857,21.3,6.9,1.4,3.3,21.2,0.08,-2.7,-2.2,AlAttles,alattles,1,AA,3641,9.98,1,4,1,0,0,0,0,0
37,GeorgeLett,georgelett,0,0,1979,96,GSW,Centenary College of Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,4,1,0,0,0,0,0
38,JimMitchem,jimmitchem,0,0,1979,118,GSW,DePaul University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,4,1,0,0,0,0,0
39,RenWatson,renwatson,0,0,1979,137,GSW,Virginia Commonwealth University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,4,1,0,0,0,0,0
40,MarioButler,mariobutler,0,0,1979,155,GSW,Briar Cliff University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,4,1,0,0,0,0,0
41,GeneRansom,generansom,0,0,1979,175,GSW,University of California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,4,1,0,0,0,0,0
42,KevinHeenan,kevinheenan,0,0,1979,192,GSW,"California State University, Fullerton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,4,1,0,0,0,0,0
43,JoeBarryCarroll,joebarrycarroll,0,0,1980,1,GSW,Purdue University,10,705,22838,12455,5404,1264,0.474,0,0.747,32.4,17.7,7.7,1.8,35.6,0.075,-0.7,7.5,AlAttles,alattles,1,AA,3641,9.98,1,5,1,0,0,0,0,0
44,RickeyBrown,rickeybrown,0,0,1980,13,GSW,Mississippi State University,5,340,4487,1482,1200,119,0.464,0,0.667,13.2,4.4,3.5,0.4,4.7,0.051,-4.4,-2.7,AlAttles,alattles,1,AA,3641,9.98,1,5,1,0,0,0,0,0
45,LarrySmith,larrysmith,0,0,1980,24,GSW,Alcorn State University,13,883,22879,5904,8125,941,0.531,0,0.531,25.9,6.7,9.2,1.1,46,0.096,0.6,15,AlAttles,alattles,1,AA,3641,9.98,1,5,1,0,0,0,0,0
46,JeffRuland,jeffruland,0,0,1980,25,GSW,Iona College,8,332,11088,5763,3378,1002,0.564,0.158,0.718,33.4,17.4,10.2,3,34.3,0.149,3.5,15.4,AlAttles,alattles,1,AA,3641,9.98,1,5,1,0,0,0,0,0
47,JohnVirgil,johnvirgil,0,0,1980,49,GSW,University of North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,5,1,0,0,0,0,0
48,RobertScott,robertscott,0,0,1980,71,GSW,University of Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,5,1,0,0,0,0,0
49,DonCarlino,doncarlino,0,0,1980,95,GSW,University of Southern California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,5,1,0,0,0,0,0
50,NeilBresnahan,neilbresnahan,0,0,1980,117,GSW,University of Illinois at Urbana-Champaign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,5,1,0,0,0,0,0
51,LorenzoRomar,lorenzoromar,0,0,1980,141,GSW,University of Washington,5,291,5188,1731,385,1022,0.464,0.211,0.749,17.8,5.9,1.3,3.5,8,0.074,-2.8,-1,AlAttles,alattles,1,AA,3641,9.98,1,5,1,0,0,0,0,0
52,KurtKanaskie,kurtkanaskie,0,0,1980,162,GSW,La Salle University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,5,1,0,0,0,0,0
